id,sku,title,summary,description,brand,material,fit,pattern,category,gender,age_group,color,size,price,discount,stock,condition,status,origin,thumbnail_url,image_urls,video_url,created_at,updated_at,image,name
1,SKU-00001,Calvin Klein Skirt White XXL,"Skirt thời trang male chất liệu Linen, kiểu Relaxed, họa tiết Checked.","Sản phẩm skirt cao cấp của thương hiệu Calvin Klein, màu White, size XXL. Chất liệu Linen thoáng mát, phù hợp cho male. Kiểu dáng Relaxed, họa tiết Checked. Xuất xứ USA. Giá gốc $490.44 với ưu đãi giảm 25%.",Calvin Klein,Linen,Relaxed,Checked,Skirt,male,teen,White,XXL,490.44,25,181,used,0,USA,https://example.com/images/skirt_1.jpg,https://example.com/images/skirt_1_1.jpg;https://example.com/images/skirt_1_2.jpg,https://example.com/videos/skirt_1.mp4,2025-01-27 01:12:43,2025-01-30 01:12:43,https://images.pexels.com/photos/8450441/pexels-photo-8450441.jpeg?auto=compress&cs=tinysrgb&h=350,Calvin Klein Skirt White XXL
2,SKU-00002,Levi's Sneakers Blue M,"Sneakers thời trang unisex chất liệu Leather, kiểu Slim, họa tiết Printed.","Sản phẩm sneakers cao cấp của thương hiệu Levi's, màu Blue, size M. Chất liệu Leather thoáng mát, phù hợp cho unisex. Kiểu dáng Slim, họa tiết Printed. Xuất xứ Italy. Giá gốc $141.31 với ưu đãi giảm 25%.",Levi's,Leather,Slim,Printed,Sneakers,unisex,teen,Blue,M,141.31,25,107,new,1,Italy,https://example.com/images/sneakers_2.jpg,https://example.com/images/sneakers_2_1.jpg;https://example.com/images/sneakers_2_2.jpg,https://example.com/videos/sneakers_2.mp4,2025-08-27 08:39:20,2025-09-21 08:39:20,https://images.pexels.com/photos/13345420/pexels-photo-13345420.jpeg?auto=compress&cs=tinysrgb&h=350,Levi's Sneakers Blue M
3,SKU-00003,Puma Jacket Red S,"Jacket thời trang unisex chất liệu Wool, kiểu Slim, họa tiết Embroidered.","Sản phẩm jacket cao cấp của thương hiệu Puma, màu Red, size S. Chất liệu Wool thoáng mát, phù hợp cho unisex. Kiểu dáng Slim, họa tiết Embroidered. Xuất xứ France. Giá gốc $19.85 với ưu đãi giảm 10%.",Puma,Wool,Slim,Embroidered,Jacket,unisex,teen,Red,S,19.85,10,85,refurbished,1,France,https://example.com/images/jacket_3.jpg,https://example.com/images/jacket_3_1.jpg;https://example.com/images/jacket_3_2.jpg,https://example.com/videos/jacket_3.mp4,2025-07-24 20:29:12,2025-09-22 20:29:12,https://images.pexels.com/photos/34570596/pexels-photo-34570596.jpeg?auto=compress&cs=tinysrgb&h=350,Puma Jacket Red S
4,SKU-00004,Hermes Bag Yellow XL,"Bag thời trang female chất liệu Polyester, kiểu Straight, họa tiết Graphic.","Sản phẩm bag cao cấp của thương hiệu Hermes, màu Yellow, size XL. Chất liệu Polyester thoáng mát, phù hợp cho female. Kiểu dáng Straight, họa tiết Graphic. Xuất xứ France. Giá gốc $354.34 với ưu đãi giảm 20%.",Hermes,Polyester,Straight,Graphic,Bag,female,adult,Yellow,XL,354.34,20,61,used,1,France,https://example.com/images/bag_4.jpg,https://example.com/images/bag_4_1.jpg;https://example.com/images/bag_4_2.jpg,https://example.com/videos/bag_4.mp4,2025-04-18 11:13:22,2025-04-26 11:13:22,https://images.pexels.com/photos/3683585/pexels-photo-3683585.jpeg?auto=compress&cs=tinysrgb&h=350,Hermes Bag Yellow XL
5,SKU-00005,Converse Skirt Green XL,"Skirt thời trang unisex chất liệu Canvas, kiểu Relaxed, họa tiết Embroidered.","Sản phẩm skirt cao cấp của thương hiệu Converse, màu Green, size XL. Chất liệu Canvas thoáng mát, phù hợp cho unisex. Kiểu dáng Relaxed, họa tiết Embroidered. Xuất xứ France. Giá gốc $308.58 với ưu đãi giảm 30%.",Converse,Canvas,Relaxed,Embroidered,Skirt,unisex,teen,Green,XL,308.58,30,193,refurbished,1,France,https://example.com/images/skirt_5.jpg,https://example.com/images/skirt_5_1.jpg;https://example.com/images/skirt_5_2.jpg,https://example.com/videos/skirt_5.mp4,2025-10-10 21:46:54,2025-11-23 21:46:54,https://images.pexels.com/photos/5490229/pexels-photo-5490229.jpeg?auto=compress&cs=tinysrgb&h=350,Converse Skirt Green XL
6,SKU-00006,New Balance Bag Blue XL,"Bag thời trang unisex chất liệu Denim, kiểu Regular, họa tiết Plain.","Sản phẩm bag cao cấp của thương hiệu New Balance, màu Blue, size XL. Chất liệu Denim thoáng mát, phù hợp cho unisex. Kiểu dáng Regular, họa tiết Plain. Xuất xứ Korea. Giá gốc $480.8 với ưu đãi giảm 25%.",New Balance,Denim,Regular,Plain,Bag,unisex,teen,Blue,XL,480.8,25,92,refurbished,0,Korea,https://example.com/images/bag_6.jpg,https://example.com/images/bag_6_1.jpg;https://example.com/images/bag_6_2.jpg,https://example.com/videos/bag_6.mp4,2025-07-12 23:06:54,2025-09-06 23:06:54,https://images.pexels.com/photos/8004312/pexels-photo-8004312.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,New Balance Bag Blue XL
7,SKU-00007,Hermes Jacket Beige XS,"Jacket thời trang female chất liệu Linen, kiểu Tapered, họa tiết Checked.","Sản phẩm jacket cao cấp của thương hiệu Hermes, màu Beige, size XS. Chất liệu Linen thoáng mát, phù hợp cho female. Kiểu dáng Tapered, họa tiết Checked. Xuất xứ India. Giá gốc $267.89 với ưu đãi giảm 50%.",Hermes,Linen,Tapered,Checked,Jacket,female,kids,Beige,XS,267.89,50,184,new,1,India,https://example.com/images/jacket_7.jpg,https://example.com/images/jacket_7_1.jpg;https://example.com/images/jacket_7_2.jpg,https://example.com/videos/jacket_7.mp4,2025-01-28 12:07:02,2025-01-29 12:07:02,https://images.pexels.com/photos/8532611/pexels-photo-8532611.jpeg?auto=compress&cs=tinysrgb&h=350,Hermes Jacket Beige XS
8,SKU-00008,H&M Jeans White S,"Jeans thời trang male chất liệu Silk, kiểu Oversized, họa tiết Printed.","Sản phẩm jeans cao cấp của thương hiệu H&M, màu White, size S. Chất liệu Silk thoáng mát, phù hợp cho male. Kiểu dáng Oversized, họa tiết Printed. Xuất xứ Thailand. Giá gốc $295.07 với ưu đãi giảm 5%.",H&M,Silk,Oversized,Printed,Jeans,male,adult,White,S,295.07,5,54,new,0,Thailand,https://example.com/images/jeans_8.jpg,https://example.com/images/jeans_8_1.jpg;https://example.com/images/jeans_8_2.jpg,https://example.com/videos/jeans_8.mp4,2025-02-27 16:49:21,2025-04-21 16:49:21,https://images.pexels.com/photos/6764017/pexels-photo-6764017.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,H&M Jeans White S
9,SKU-00009,Nike Shirt Beige S,"Shirt thời trang male chất liệu Nylon, kiểu Relaxed, họa tiết Plain.","Sản phẩm shirt cao cấp của thương hiệu Nike, màu Beige, size S. Chất liệu Nylon thoáng mát, phù hợp cho male. Kiểu dáng Relaxed, họa tiết Plain. Xuất xứ Korea. Giá gốc $419.02 với ưu đãi giảm 0%.",Nike,Nylon,Relaxed,Plain,Shirt,male,adult,Beige,S,419.02,0,42,used,1,Korea,https://example.com/images/shirt_9.jpg,https://example.com/images/shirt_9_1.jpg;https://example.com/images/shirt_9_2.jpg,https://example.com/videos/shirt_9.mp4,2024-12-25 00:56:47,2025-02-14 00:56:47,https://images.pexels.com/photos/9594146/pexels-photo-9594146.jpeg?auto=compress&cs=tinysrgb&h=350,Nike Shirt Beige S
10,SKU-00010,Dior Bag Blue L,"Bag thời trang female chất liệu Denim, kiểu Slim, họa tiết Checked.","Sản phẩm bag cao cấp của thương hiệu Dior, màu Blue, size L. Chất liệu Denim thoáng mát, phù hợp cho female. Kiểu dáng Slim, họa tiết Checked. Xuất xứ France. Giá gốc $204.21 với ưu đãi giảm 10%.",Dior,Denim,Slim,Checked,Bag,female,teen,Blue,L,204.21,10,18,used,0,France,https://example.com/images/bag_10.jpg,https://example.com/images/bag_10_1.jpg;https://example.com/images/bag_10_2.jpg,https://example.com/videos/bag_10.mp4,2025-06-04 18:23:29,2025-08-01 18:23:29,https://images.pexels.com/photos/5699285/pexels-photo-5699285.jpeg?auto=compress&cs=tinysrgb&h=350,Dior Bag Blue L
